ComplaintID,Complaint,Category,Urgency
CMP_11106,"The floodlights on the football ground are not turning on, stopping evening practice.",Sports,Medium
CMP_11107,Complete power blackout in the entire wing of Hostel 5 for over 6 hours.,Electricity,High
CMP_11108,The breakfast was served cold today at the counter.,Mess,Low
CMP_11109,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_11110,A caterpillar and dead flies were found in the vegetable curry served during dinner.,Mess,High
CMP_11111,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_11112,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_11113,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_11114,the study lamp socket on table 19 is not drawing any power.,Electricity,Low
CMP_11115,Live naked electric wires are exposed in the hallway of the third floor near the water cooler.,Electricity,Critical
CMP_11116,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_11117,The automated emergency fire suppression sprinklers in the main book stack area went off falsely.,Library,Critical
CMP_11118,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_11119,The main fiber optic line to the engineering department block was cut during construction work.,Internet,Critical
CMP_11120,"a heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_11121,Complete network outage across the entire Girls Hostel Block C block preventing project submissions.,Internet,High
CMP_11122,The window latch in room 157 is loose and needs to be tightened.,Hostel,Low
CMP_11123,An unidentified suspicious outsider entered the hostel premises without authorization or ID check.,Security,High
CMP_11124,One of the three tube lights in room 143 has fused.,Electricity,Low
CMP_11125,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_11126,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_11127,"A heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_11128,The brakes of campus bus number B-07 failed completely while descending the hill road.,Transport,Critical
CMP_11129,Water drain in the common washroom is slow to clear.,Plumbing,Low
CMP_11130,Frequent voltage fluctuations in Girls Hostel Block C are causing laptops to restart continuously.,Electricity,Medium
CMP_11131,Frequent voltage fluctuations in Boys Hostel Block A are causing laptops to restart continuously.,Electricity,Medium
CMP_11132,"The overhead water tank is rally overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_11133,Rainwater is rally leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_11134,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_11135,The plates and spoons provided in the dining hall are sticky and oily.,Mess,Low
CMP_11136,the biosafety cabinet ventilation failed while handling pathogenic bacterial samples.,Laboratory,Critical
CMP_11137,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11138,The waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
CMP_11139,"A heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_11140,"The morning campus bus is severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_11141,A bicycle locked near block Boys Hostel Block B was stolen during broad daylight.,Security,Medium
CMP_11142,Bedbugs found in the mattress provided in room 306 of Boys Hostel Block B.,Hostel,Medium
CMP_11143,The evening shuttle bus arrived 20 minutes later than the scheduled timetable.,Transport,Low
CMP_11144,"The corridor lights on the second floor are not working, making it pitch dark at night.",Electricity,Medium
CMP_11145,The waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
CMP_11146,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_11147,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_11148,An entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_11149,An armed intruder managed to scale the boundary wall and enter the girls' hostel campus.,Security,Critical
CMP_11150,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_11151,Sewage backflow coming out of the floor drains in the ground floor bathrooms.,Plumbing,Critical
CMP_11152,The WiFi network speed in Girls Hostel Block C has dropped below 1 Mbps since yesterday.,Internet,Medium
CMP_11153,One of the three tube lights in room 325 has fused.,Electricity,Low
CMP_11154,The toilet flush mechanism in bathroom 6 is broken and not working.,Plumbing,Medium
CMP_11155,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_11156,The driver of route Shuttle-C was driving extremely recklessly and speeding over speed bumps.,Transport,High
CMP_11157,One of the external streetlights near the parking lot is flickering.,Security,Low
CMP_11158,One of the external streetlights near the parking lot is flickering.,Security,Low
CMP_11159,The main fiber optic line to the engineering department block was cut during construction work.,Internet,Critical
CMP_11160,One of the external streetlights near the parking lot is flickering.,Security,Low
CMP_11161,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_11162,The automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_11163,The online portal failed to register the elective course preferences due to a script error.,Academic,Medium
CMP_11164,Complete lack of running water in the entire hostel building since morning.,Plumbing,High
CMP_11165,The window latch in room 101 is loose and needs to be tightened.,Hostel,Low
CMP_11166,"An emergency patient arrived, but the campus ambulance oxygen cylinder was found empty.",Medical,High
CMP_11167,The air conditioning in the long-route university bus number B-12 is completely broken.,Transport,Medium
CMP_11168,The WiFi network speed in Boys Hostel Block B has dropped below 1 Mbps since yesterday.,Internet,Medium
CMP_11169,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_11170,Complete power blackout in the entire wing of Hostel 9 for over 6 hours.,Electricity,High
CMP_11171,The breakfast was served cold today at the counter.,Mess,Low
CMP_11172,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_11173,The ceiling fan in room 365 is making a slight clicking sound.,Hostel,Low
CMP_11174,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_11175,Complete lack of running water in the entire hostel building since morning.,Plumbing,High
CMP_11176,"The overhead water tank is rally overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_11177,The nylon net on the basketball hoop is torn and needs replacement.,Sports,Low
CMP_11178,The air conditioning in the long-route university bus number B-07 is completely broken.,Transport,Medium
CMP_11179,A caterpillar and dead flies were found in the vegetable curry served during dinner.,Mess,High
CMP_11180,One of the three tube lights in room 119 has fused.,Electricity,Low
CMP_11181,The main fiber optic line to the engineering department block was cut during construction work.,Internet,Critical
CMP_11182,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11183,several pages are torn or missing from the core reference book for course code ch-111.,Library,Medium
CMP_11184,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_11185,more than 15 students have reported severe stomach aches and vomiting after eating at the mess.,Mess,High
CMP_11186,Oscilloscope number 20 in the electronics lab shows a distorted calibration line.,Laboratory,Medium
CMP_11187,Firewalls are blocking access to critical academic research servers and repository sites entirely.,Internet,Critical
CMP_11188,One of the three tube lights in room 557 has fused.,Electricity,Low
CMP_11189,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_11190,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_11191,The main fiber optic line to the engineering department block was cut during construction work.,Internet,Critical
CMP_11192,"The main water pipeline has burst, causing massive flooding in the basement of Boys Hostel Block A.",Plumbing,High
CMP_11193,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_11194,A gas cylinder regulator valve in the chemical laboratory is jammed and leaking a distinct smell.,Laboratory,High
CMP_11195,An armed intruder managed to scale the boundary wall and enter the girls' hostel campus.,Security,Critical
CMP_11196,a bicycle locked near block boys hostel block b was stolen during broad daylight.,Security,Medium
CMP_11197,lan connection port in room 538 is physically damaged and loose.,Internet,Medium
CMP_11198,The online portal failed to register the elective course preferences due to a script error.,Academic,Medium
CMP_11199,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_11200,A dangerous chemical spill of concentrated sulfuric acid occurred on bench 25.,Laboratory,Critical
CMP_11201,The biosafety cabinet ventilation failed while handling pathogenic bacterial samples.,Laboratory,Critical
CMP_11202,The balcony railing on the first floor of PG Married Hostel is completely detached and hanging.,Hostel,Critical
CMP_11203,The barcode scanner at the return counter is rally failing to scan books quickly.,Library,Low
CMP_11204,The brakes of campus bus number Shuttle-A failed completely while descending the hill road.,Transport,Critical
CMP_11205,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_11206,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_11207,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_11208,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11209,The whiteboard markers provided to professors are mostly dried up and unreadable.,Academic,Low
CMP_11210,lan connection port in room 426 is physically damaged and loose.,Internet,Medium
CMP_11211,The balcony railing on the third floor of Boys Hostel Block A is completely detached and hanging.,Hostel,Critical
CMP_11212,The evening shuttle bus arrived 20 minutes later than the scheduled timetable.,Transport,Low
CMP_11213,The nylon net on the basketball hoop is torn and needs replacement.,Sports,Low
CMP_11214,A major collision involving the university transport bus occurred near the main city crossing.,Transport,Critical
CMP_11215,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_11216,Severe water leakage from the ceiling in room 522 damaging personal belongings.,Hostel,High
CMP_11217,Frequent voltage fluctuations in Hostel 5 are causing laptops to restart continuously.,Electricity,Medium
CMP_11218,"A heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_11219,the waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
CMP_11220,One of the three tube lights in room 164 has fused.,Electricity,Low
CMP_11221,A dangerous chemical spill of concentrated sulfuric acid occurred on bench 13.,Laboratory,Critical
CMP_11222,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_11223,The seat covers on campus bus number B-04 are torn and dirty.,Transport,Low
CMP_11224,The whiteboard markers provided to professors are mostly dried up and unreadable.,Academic,Low
CMP_11225,The on-duty doctor was absent during the specified night shift hours at the clinic.,Medical,High
CMP_11226,LAN connection port in room 146 is rally physically damaged and loose.,Internet,Medium
CMP_11227,The biosafety cabinet ventilation failed while handling pathogenic bacterial samples.,Laboratory,Critical
CMP_11228,A student is rally unconscious and unresponsive in room 152 following a sudden seizure.,Medical,Critical
CMP_11229,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_11230,The grades for the semester final exams haven't been updated even after 3 weeks of submission.,Academic,Medium
CMP_11231,Oscilloscope number 29 in the electronics lab shows a distorted calibration line.,Laboratory,Medium
CMP_11232,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_11233,"The air conditioning system in the reading room is rally turned off, making it suffocating.",Library,Medium
CMP_11234,The waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
CMP_11235,The main server rack hosting all student terminal virtual machines has crashed entirely.,Laboratory,High
CMP_11236,The elevator in Boys Hostel Block A is jerking badly while moving between floors.,Hostel,Medium
CMP_11237,The automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_11238,The main circuit breaker keeps tripping every time the air conditioner is turned on.,Electricity,High
CMP_11239,The toilet flush mechanism in bathroom 6 is rally broken and nt workin.,Plumbing,Medium
CMP_11240,The main entry door lock for room 539 is completely broken and cannot be locked.,Hostel,High
CMP_11241,More than 15 students have reported severe stomach aches and vomiting after eating at the mess.,Mess,High
CMP_11242,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11243,"A heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_11244,The drinking water dispenser in the mess area has a strange muddy taste.,Mess,Medium
CMP_11245,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_11246,A violent physical brawl broke out between two large student groups in the main corridor.,Security,Critical
CMP_11247,One of the three tube lights in room 553 has fused.,Electricity,Low
CMP_11248,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_11249,The breakfast was served cold today at the counter.,Mess,Low
CMP_11250,The window latch in room 232 is loose and needs to be tightened.,Hostel,Low
CMP_11251,The brakes of campus bus number B-04 failed completely while descending the hill road.,Transport,Critical
CMP_11252,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11253,The projector screen in classroom 288 is manually jammed and won't roll down smoothly.,Academic,Low
CMP_11254,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11255,Complete network outage across the entire Girls Hostel Block C block preventing project submissions.,Internet,High
CMP_11256,"The floodlights on the football ground are not turning on, stopping evening practice.",Sports,Medium
CMP_11257,The biosafety cabinet ventilation failed while handling pathogenic bacterial samples.,Laboratory,Critical
CMP_11258,The driver of route B-04 was driving extremely recklessly and speeding over speed bumps.,Transport,High
CMP_11259,Oscilloscope number 29 in the electronics lab shows a distorted calibration line.,Laboratory,Medium
CMP_11260,One of the external streetlights near the parking lot is flickering.,Security,Low
CMP_11261,the weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_11262,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_11263,An armed intruder managed to scale the boundary wall and enter the girls' hostel campus.,Security,Critical
CMP_11264,the breakfast was served cold today at the counter.,Mess,Low
CMP_11265,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_11266,The online portal failed to register the elective course preferences due to a script error.,Academic,Medium
CMP_11267,The main circuit breaker keeps tripping every time the air conditioner is rally turned on.,Electricity,High
CMP_11268,"The main water pipeline has burst, causing massive flooding in the basement of PG Married Hostel.",Plumbing,High
CMP_11269,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11270,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_11271,The projector screen in classroom 481 is manually jammed and won't roll down smoothly.,Academic,Low
CMP_11272,"an emergency patient arrived, but the campus ambulance oxygen cylinder was found empty.",Medical,High
CMP_11273,The main fiber optic line to the engineering department block was cut during construction work.,Internet,Critical
CMP_11274,The CCTV camera covering the main entrance of Girls Hostel Block D is out of focus and blurred.,Security,Medium
CMP_11275,The brakes of campus bus number Shuttle-A failed completely while descending the hill road.,Transport,Critical
CMP_11276,The toilet flush mechanism in bathroom 2 is broken and not working.,Plumbing,Medium
CMP_11277,The on-duty doctor was absent during the specified night shift hours at the clinic.,Medical,High
CMP_11278,The online portal failed to register the elective course preferences due to a script error.,Academic,Medium
CMP_11279,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_11280,The automated emergency fire suppression sprinklers in the main book stack area went off falsely.,Library,Critical
CMP_11281,The exam paper leaked online an hour prior to the scheduled examination schedule.,Academic,High
CMP_11282,The drinking water dispenser in the mess area has a strange muddy taste.,Mess,Medium
CMP_11283,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_11284,The main circuit breaker keeps tripping every time the air conditioner is turned on.,Electricity,High
CMP_11285,A caterpillar and dead flies were found in the vegetable curry served during dinner.,Mess,High
CMP_11286,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_11287,a group of outsiders are picking fights and ragging students outside the main campus gate.,Security,High
CMP_11288,The evening shuttle bus arrived 20 minutes later than the scheduled timetable.,Transport,Low
CMP_11289,The automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_11290,the main server rack hosting all student terminal virtual machines has crashed entirely.,Laboratory,High
CMP_11291,Bedbugs found in the mattress provided in room 272 of Boys Hostel Block A.,Hostel,Medium
CMP_11292,Water drain in the common washroom is slow to clear.,Plumbing,Low
CMP_11293,The projector screen in classroom 513 is manually jammed and won't roll down smoothly.,Academic,Low
CMP_11294,The seat covers on campus bus number B-01 are torn and dirty.,Transport,Low
CMP_11295,Complete network outage across the entire Girls Hostel Block C block preventing project submissions.,Internet,High
CMP_11296,The elevator in PG Married Hostel is jerking badly while moving between floors.,Hostel,Medium
CMP_11297,an unidentified suspicious outsider entered the hostel premises without authorization or id check.,Security,High
CMP_11298,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11299,The automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_11300,The breakfast was served cold today at the counter.,Mess,Low
CMP_11301,The main entry door lock for room 456 is completely broken and cannot be locked.,Hostel,High
CMP_11302,The CCTV camera covering the main entrance of Boys Hostel Block B is out of focus and blurred.,Security,Medium
CMP_11303,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_11304,several pages are torn or missing from the core reference book for course code ph-102.,Library,Medium
CMP_11305,Oscilloscope number 20 in the electronics lab shows a distorted calibration line.,Laboratory,Medium
CMP_11306,A group of outsiders are picking fights and ragging students outside the main campus gate.,Security,High
CMP_11307,"The air conditioning system in the reading room is turned off, making it suffocating.",Library,Medium
CMP_11308,"The swimming pool water is green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_11309,"the swimming pool water is green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_11310,More than 15 students have reported severe stomach aches and vomiting after eating at the mess.,Mess,High
CMP_11311,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11312,Sparking and a burning plastic smell coming from the distribution board near room 492.,Electricity,Critical
CMP_11313,The online portal failed to register the elective course preferences due to a script error.,Academic,Medium
CMP_11314,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_11315,one of the external streetlights near the parking lot is flickering.,Security,Low
CMP_11316,The seat covers on campus bus number Shuttle-C are torn and dirty.,Transport,Low
CMP_11317,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_11318,"the quality of the lunch provided today was extremely poor, the rice was half-cooked.",Mess,Medium
CMP_11319,"The main water pipeline has burst, causing massive flooding in the basement of Boys Hostel Block A.",Plumbing,High
CMP_11320,Rainwater is leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_11321,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_11322,Firewalls are blocking access to critical academic research servers and repository sites entirely.,Internet,Critical
CMP_11323,Mass scale technical malpractice detected during the online proctored placement exams.,Academic,Critical
CMP_11324,The ceiling fan in room 599 is rally making a slight clicking sound.,Hostel,Low
CMP_11325,The WiFi network speed in Boys Hostel Block B has dropped below 1 Mbps since yesterday.,Internet,Medium
CMP_11326,"the library structural pillars in the basement are showing deep cracks, causing panic.",Library,Critical
CMP_11327,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11328,Complete lack of running water in the entire hostel building since morning.,Plumbing,High
CMP_11329,The plates and spoons provided in the dining hall are sticky and oily.,Mess,Low
CMP_11330,Frequent voltage fluctuations in Hostel 9 are causing laptops to restart continuously.,Electricity,Medium
CMP_11331,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_11332,A group of outsiders are picking fights and ragging students outside the main campus gate.,Security,High
CMP_11333,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_11334,Frequent voltage fluctuations in Boys Hostel Block A are causing laptops to restart continuously.,Electricity,Medium
CMP_11335,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_11336,"the air conditioning system in the reading room is turned off, making it suffocating.",Library,Medium
CMP_11337,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_11338,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11339,"The floodlights on the football ground are not turning on, stopping evening practice.",Sports,Medium
CMP_11340,The main circuit breaker keeps tripping every time the air conditioner is rally turned on.,Electricity,High
CMP_11341,The air conditioning in the long-route university bus number B-01 is completely broken.,Transport,Medium
CMP_11342,The grades for the semester final exams haven't been updated even after 3 weeks of submission.,Academic,Medium
CMP_11343,"The main water pipeline has burst, causing massive flooding in the basement of Boys Hostel Block A.",Plumbing,High
CMP_11344,The projector screen in classroom 447 is rally manually jammed and won't roll down smoothly.,Academic,Low
CMP_11345,an entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_11346,The WiFi network speed in Hostel 9 has dropped below 1 Mbps since yesterday.,Internet,Medium
CMP_11347,LAN connection port in room 463 is physically damaged and loose.,Internet,Medium
CMP_11348,a violent physical brawl broke out between two large student groups in the main corridor.,Security,Critical
CMP_11349,An unidentified suspicious outsider entered the hostel premises without authorization or ID check.,Security,High
CMP_11350,the plates and spoons provided in the dining hall are sticky and oily.,Mess,Low
CMP_11351,An entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_11352,"The authentication gateway server is rally down, preventing any student from logging into the internet.",Internet,High
CMP_11353,A major collision involving the university transport bus occurred near the main city crossing.,Transport,Critical
CMP_11354,an armed intruder managed to scale the boundary wall and enter the girls' hostel campus.,Security,Critical
CMP_11355,The seat covers on campus bus number B-01 are torn and dirty.,Transport,Low
CMP_11356,An unidentified suspicious outsider entered the hostel premises without authorization or ID check.,Security,High
CMP_11357,"The quality of the lunch provided today was extremely poor, the rice was half-cooked.",Mess,Medium
CMP_11358,The on-duty doctor was absent during the specified night shift hours at the clinic.,Medical,High
CMP_11359,Rainwater is leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_11360,The breakfast was served cold today at the counter.,Mess,Low
CMP_11361,A bicycle locked near block Hostel 9 was stolen during broad daylight.,Security,Medium
CMP_11362,Mass scale technical malpractice detected during the online proctored placement exams.,Academic,Critical
CMP_11363,The washbasin tap in room 215 is dripping slowly continuously.,Plumbing,Low
CMP_11364,The evening shuttle bus arrived 20 minutes later than the scheduled timetable.,Transport,Low
CMP_11365,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_11366,Severe water leakage from the ceiling in room 214 damaging personal belongings.,Hostel,High
CMP_11367,"The main water pipeline has burst, causing massive flooding in the basement of Girls Hostel Block C.",Plumbing,High
CMP_11368,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11369,"The morning campus bus is rally severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_11370,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_11371,"The corridor lights on the first floor are not working, making it pitch dark at night.",Electricity,Medium
CMP_11372,LAN connection port in room 534 is rally physically damaged and loose.,Internet,Medium
CMP_11373,"The quality of the lunch provided today was extremely poor, the rice was half-cooked.",Mess,Medium
CMP_11374,The main entry door lock for room 287 is completely broken and cannot be locked.,Hostel,High
CMP_11375,The driver of route B-01 was driving extremely recklessly and speeding over speed bumps.,Transport,High
CMP_11376,The projector screen in classroom 471 is manually jammed and won't roll down smoothly.,Academic,Low
CMP_11377,The digital library portal is completely inaccessible right before the mid-term examinations.,Library,High
CMP_11378,An entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_11379,A bicycle locked near block Boys Hostel Block B was stolen during broad daylight.,Security,Medium
CMP_11380,"A large chunk of plaster fell from the ceiling in room 586, narrowly missing a student.",Hostel,Critical
CMP_11381,A violent physical brawl broke out between two large student groups in the main corridor.,Security,Critical
CMP_11382,The plates and spoons provided in the dining hall are sticky and oily.,Mess,Low
CMP_11383,Rainwater is rally leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_11384,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11385,Sewage backflow coming out of the floor drains in the ground floor bathrooms.,Plumbing,Critical
CMP_11386,"The swimming pool water is green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_11387,Bedbugs found in the mattress provided in room 471 of Boys Hostel Block A.,Hostel,Medium
CMP_11388,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_11389,The digital thermometer at the campus clinic is out of battery and not replaced.,Medical,Medium
CMP_11390,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_11391,The breakfast was served cold today at the counter.,Mess,Low
CMP_11392,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_11393,The washbasin tap in room 245 is rally dripping slowly continuously.,Plumbing,Low
CMP_11394,The ceiling fan in room 171 is making a slight clicking sound.,Hostel,Low
CMP_11395,The biosafety cabinet ventilation failed while handling pathogenic bacterial samples.,Laboratory,Critical
CMP_11396,"The library structural pillars in the basement are showing deep cracks, causing panic.",Library,Critical
CMP_11397,The window latch in room 463 is loose and needs to be tightened.,Hostel,Low
CMP_11398,The automated emergency fire suppression sprinklers in the main book stack area went off falsely.,Library,Critical
CMP_11399,The plates and spoons provided in the dining hall are sticky and oily.,Mess,Low
CMP_11400,The study lamp socket on table 23 is not drawing any power.,Electricity,Low
CMP_11401,An armed intruder managed to scale the boundary wall and enter the girls' hostel campus.,Security,Critical
CMP_11402,The ceiling fan in room 235 is rally making a slight clicking sound.,Hostel,Low
CMP_11403,"The library structural pillars in the basement are showing deep cracks, causing panic.",Library,Critical
CMP_11404,"The air conditioning system in the reading room is turned off, making it suffocating.",Library,Medium
CMP_11405,"The corridor lights on the first floor are nt workin, making it pitch dark at night.",Electricity,Medium
CMP_11406,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_11407,"The swimming pool water is green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_11408,LAN connection port in room 136 is physically damaged and loose.,Internet,Medium
CMP_11409,"the quality of the lunch provided today was extremely poor, the rice was half-cooked.",Mess,Medium
CMP_11410,Live naked electric wires are exposed in the hallway of the ground floor near the water cooler.,Electricity,Critical
CMP_11411,"The quality of the lunch provided today was extremely poor, the rice was half-cooked.",Mess,Medium
CMP_11412,One of the external streetlights near the parking lot is flickering.,Security,Low
CMP_11413,The ceiling fan in room 255 is making a slight clicking sound.,Hostel,Low
CMP_11414,An unidentified suspicious outsider entered the hostel premises without authorization or ID check.,Security,High
CMP_11415,"The air conditioning system in the reading room is turned off, making it suffocating.",Library,Medium
CMP_11416,A major collision involving the university transport bus occurred near the main city crossing.,Transport,Critical
CMP_11417,The study lamp socket on table 17 is not drawing any power.,Electricity,Low
CMP_11418,The main circuit breaker keeps tripping every time the air conditioner is turned on.,Electricity,High
CMP_11419,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11420,The mouse attached to computer terminal 22 in the computer lab is malfunctioning.,Laboratory,Low
CMP_11421,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_11422,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_11423,The main entry door lock for room 452 is completely broken and cannot be locked.,Hostel,High
CMP_11424,The study lamp socket on table 39 is not drawing any power.,Electricity,Low
CMP_11425,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11426,The automated emergency fire suppression sprinklers in the main book stack area went off falsely.,Library,Critical
CMP_11427,more than 15 students have reported severe stomach aches and vomiting after eating at the mess.,Mess,High
CMP_11428,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_11429,More than 15 students have reported severe stomach aches and vomiting after eating at the mess.,Mess,High
CMP_11430,The automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_11431,The digital library portal is rally completely inaccessible right before the mid-term examinations.,Library,High
CMP_11432,No hot water supply in the showers of PG Married Hostel during early morning hours.,Plumbing,Medium
CMP_11433,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_11434,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_11435,The barcode scanner at the return counter is failing to scan books quickly.,Library,Low
CMP_11436,The waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
